,Test,Ct_values,Date,sample_id
671,Normalization factor,24.48,2023-07-19,3
672,Target 1,ND,2023-07-26,3
673,Target 2,ND,2023-07-26,3
674,Extraction control,30.23,2023-07-26,3
675,Normalization factor,27.92,2023-07-26,3
676,Target 1,ND,2023-08-02,3
677,Target 2,ND,2023-08-02,3
678,Extraction control,29.65,2023-08-02,3
679,Normalization factor,26.71,2023-08-02,3
680,Target 1,ND,2023-08-09,3
681,Target 2,ND,2023-08-09,3
682,Extraction control,29.52,2023-08-09,3
683,Normalization factor,26.93,2023-08-09,3
684,Target 1,37.62,2023-08-16,3
685,Target 2,39.17,2023-08-16,3
686,Extraction control,28.28,2023-08-16,3
687,Normalization factor,26.32,2023-08-16,3
688,Target 1,34.83,2023-08-23,3
689,Target 2,ND,2023-08-23,3
690,Extraction control,30.49,2023-08-23,3
691,Normalization factor,26.57,2023-08-23,3
692,Target 1,36.19,2023-08-30,3
693,Target 2,42.32,2023-08-30,3
694,Extraction control,29.7,2023-08-30,3
695,Normalization factor,25.04,2023-08-30,3
696,Target 1,35.53,2023-09-06,3
697,Target 2,38.67,2023-09-06,3
698,Extraction control,30.73,2023-09-06,3
699,Normalization factor,26.28,2023-09-06,3
700,Target 1,ND,2023-09-13,3
701,Target 2,ND,2023-09-13,3
702,Extraction control,29.97,2023-09-13,3
703,Normalization factor,27.45,2023-09-13,3
704,Target 1,ND,2023-09-20,3
705,Target 2,39.34,2023-09-20,3
706,Extraction control,28.42,2023-09-20,3
707,Normalization factor,25.71,2023-09-20,3
708,Target 1,ND,2023-09-27,3
709,Target 2,ND,2023-09-27,3
710,Extraction control,28.32,2023-09-27,3
711,Normalization factor,26.12,2023-09-27,3
712,Target 1,ND,2023-10-04,3
713,Target 2,42.73,2023-10-04,3
714,Extraction control,28.55,2023-10-04,3
715,Normalization factor,25.79,2023-10-04,3
716,Target 1,ND,2023-10-11,3
717,Target 2,ND,2023-10-11,3
718,Extraction control,26.39,2023-10-11,3
719,Normalization factor,25.02,2023-10-11,3
720,Target 1,37.28,2023-10-18,3
721,Target 2,39.71,2023-10-18,3
722,Extraction control,26.73,2023-10-18,3
723,Normalization factor,25.11,2023-10-18,3
724,Target 1,ND,2023-10-25,3
725,Target 2,ND,2023-10-25,3
726,Extraction control,24.71,2023-10-25,3
727,Normalization factor,22.01,2023-10-25,3
728,Target 1,ND,2023-11-01,3
729,Target 2,ND,2023-11-01,3
730,Extraction control,27.89,2023-11-01,3
731,Normalization factor,24.93,2023-11-01,3
732,Target 1,ND,2023-11-07,3
733,Target 2,ND,2023-11-07,3
734,Extraction control,27.35,2023-11-07,3
735,Normalization factor,25.51,2023-11-07,3
736,Target 1,36.09,2023-11-15,3
737,Target 2,40.62,2023-11-15,3
738,Extraction control,26.5,2023-11-15,3
739,Normalization factor,24.93,2023-11-15,3
740,Target 1,ND,2023-11-21,3
741,Target 2,ND,2023-11-21,3
742,Extraction control,26.5,2023-11-21,3
743,Normalization factor,24.49,2023-11-21,3
744,Target 1,37.21,2023-11-29,3
745,Target 2,37.3,2023-11-29,3
746,Extraction control,26.67,2023-11-29,3
747,Normalization factor,25.51,2023-11-29,3
748,Target 1,36.63,2023-12-06,3
749,Target 2,35.93,2023-12-06,3
750,Extraction control,28.13,2023-12-06,3
751,Normalization factor,26.44,2023-12-06,3
752,Target 1,35.74,2023-12-13,3
753,Target 2,36.02,2023-12-13,3
754,Extraction control,28.46,2023-12-13,3
755,Normalization factor,25.79,2023-12-13,3
756,Target 1,37.87,2023-12-20,3
757,Target 2,ND,2023-12-20,3
758,Extraction control,28.46,2023-12-20,3
759,Normalization factor,28.1,2023-12-20,3
760,Target 1,ND,2023-12-27,3
761,Target 2,38.91,2023-12-27,3
762,Extraction control,29.17,2023-12-27,3
763,Normalization factor,27.62,2023-12-27,3
764,Target 1,ND,2024-01-03,3
765,Target 2,ND,2024-01-03,3
766,Extraction control,28.07,2024-01-03,3
767,Normalization factor,26.76,2024-01-03,3
768,Target 1,ND,2024-01-10,3
769,Target 2,39.5,2024-01-10,3
770,Extraction control,29.1,2024-01-10,3
771,Normalization factor,28.56,2024-01-10,3
772,Target 1,36.17,2024-01-17,3
773,Target 2,36.6,2024-01-17,3
774,Extraction control,28.42,2024-01-17,3
775,Normalization factor,29.1,2024-01-17,3
776,Target 1,ND,2024-01-24,3
777,Target 2,ND,2024-01-24,3
778,Extraction control,27.85,2024-01-24,3
779,Normalization factor,26.43,2024-01-24,3
780,Target 1,ND,2024-01-31,3
781,Target 2,ND,2024-01-31,3
782,Extraction control,27.98,2024-01-31,3
783,Normalization factor,26.29,2024-01-31,3
784,Target 1,35.64,2024-02-07,3
785,Target 2,39.11,2024-02-07,3
786,Extraction control,27.6,2024-02-07,3
787,Normalization factor,27.02,2024-02-07,3
788,Target 1,36.83,2024-02-14,3
789,Target 2,ND,2024-02-14,3
790,Extraction control,28.34,2024-02-14,3
791,Normalization factor,28.41,2024-02-14,3
792,Target 1,35.94,2024-02-21,3
793,Target 2,ND,2024-02-21,3
794,Extraction control,21.68,2024-02-21,3
795,Normalization factor,25.53,2024-02-21,3
796,Target 1,37.89,2024-02-28,3
797,Target 2,ND,2024-02-28,3
798,Extraction control,24.49,2024-02-28,3
799,Normalization factor,26.5,2024-02-28,3
800,Target 1,ND,2024-03-06,3
801,Target 2,ND,2024-03-06,3
802,Extraction control,24.95,2024-03-06,3
803,Normalization factor,26.46,2024-03-06,3
804,Target 1,34.98,2024-03-13,3
805,Target 2,40.29,2024-03-13,3
806,Extraction control,24.32,2024-03-13,3
807,Normalization factor,26.64,2024-03-13,3
808,Target 1,36.25,2024-03-20,3
809,Target 2,ND,2024-03-20,3
810,Extraction control,25.38,2024-03-20,3
811,Normalization factor,26.69,2024-03-20,3
812,Target 1,37.55,2024-03-27,3
813,Target 2,38.79,2024-03-27,3
814,Extraction control,26.13,2024-03-27,3
815,Normalization factor,27.03,2024-03-27,3
816,Target 1,36.07,2024-04-03,3
817,Target 2,ND,2024-04-03,3
818,Extraction control,25.61,2024-04-03,3
819,Normalization factor,28.27,2024-04-03,3
820,Target 1,34.08,2024-04-10,3
821,Target 2,35.4,2024-04-10,3
822,Extraction control,24.3,2024-04-10,3
823,Normalization factor,26.65,2024-04-10,3
824,Target 1,ND,2024-04-17,3
825,Target 2,ND,2024-04-17,3
826,Extraction control,23.47,2024-04-17,3
827,Normalization factor,26.42,2024-04-17,3
828,Target 1,37.5,2024-04-24,3
829,Target 2,37.91,2024-04-24,3
830,Extraction control,23.91,2024-04-24,3
831,Normalization factor,25.16,2024-04-24,3
832,Target 1,ND,2024-04-30,3
833,Target 2,ND,2024-04-30,3
834,Extraction control,25.87,2024-04-30,3
835,Normalization factor,24.87,2024-04-30,3
836,Target 1,ND,2024-05-08,3
837,Target 2,38.42,2024-05-08,3
838,Extraction control,23.99,2024-05-08,3
839,Normalization factor,25.39,2024-05-08,3
840,Target 1,ND,2024-05-15,3
841,Target 2,ND,2024-05-15,3
842,Extraction control,26.34,2024-05-15,3
843,Normalization factor,26.2,2024-05-15,3
844,Target 1,ND,2024-05-22,3
845,Target 2,ND,2024-05-22,3
846,Extraction control,26.38,2024-05-22,3
847,Normalization factor,25.92,2024-05-22,3
848,Target 1,ND,2024-05-29,3
849,Target 2,ND,2024-05-29,3
850,Extraction control,26.25,2024-05-29,3
851,Normalization factor,26.44,2024-05-29,3
852,Target 1,ND,2024-06-05,3
853,Target 2,ND,2024-06-05,3
854,Extraction control,24.67,2024-06-05,3
855,Normalization factor,26.35,2024-06-05,3
856,Target 1,ND,2024-06-12,3
857,Target 2,ND,2024-06-12,3
858,Extraction control,23.48,2024-06-12,3
859,Normalization factor,25.21,2024-06-12,3
860,Target 1,ND,2024-06-18,3
861,Target 2,ND,2024-06-18,3
862,Extraction control,24.61,2024-06-18,3
863,Normalization factor,26.21,2024-06-18,3
864,Target 1,ND,2024-06-27,3
865,Target 2,ND,2024-06-27,3
866,Extraction control,25.52,2024-06-27,3
867,Normalization factor,26.06,2024-06-27,3
868,Target 1,ND,2024-07-02,3
869,Target 2,ND,2024-07-02,3
870,Extraction control,26.71,2024-07-02,3
871,Normalization factor,25.78,2024-07-02,3
872,Target 1,35.62,2024-07-10,3
873,Target 2,36.5,2024-07-10,3
874,Extraction control,26.68,2024-07-10,3
875,Normalization factor,26.15,2024-07-10,3
876,Target 1,ND,2024-07-17,3
877,Target 2,ND,2024-07-17,3
878,Extraction control,25.39,2024-07-17,3
879,Normalization factor,26.97,2024-07-17,3
880,Target 1,ND,2024-07-24,3
881,Target 2,ND,2024-07-24,3
882,Extraction control,26.89,2024-07-24,3
883,Normalization factor,25.8,2024-07-24,3
884,Target 1,ND,2024-08-01,3
885,Target 2,ND,2024-08-01,3
886,Extraction control,25.84,2024-08-01,3
887,Normalization factor,25.66,2024-08-01,3
888,Target 1,36.32,2024-08-07,3
889,Target 2,38.73,2024-08-07,3
890,Extraction control,26.97,2024-08-07,3
891,Normalization factor,26.81,2024-08-07,3
892,Target 1,36.64,2024-08-14,3
893,Target 2,37.2,2024-08-14,3
894,Extraction control,27.0,2024-08-14,3
895,Normalization factor,26.3,2024-08-14,3
896,Target 1,ND,2024-08-21,3
897,Target 2,39.08,2024-08-21,3
898,Extraction control,26.2,2024-08-21,3
899,Normalization factor,26.63,2024-08-21,3
900,Target 1,ND,2024-08-28,3
901,Target 2,ND,2024-08-28,3
902,Extraction control,26.58,2024-08-28,3
903,Normalization factor,26.31,2024-08-28,3
904,Target 1,35.17,2024-09-04,3
905,Target 2,36.69,2024-09-04,3
906,Extraction control,25.29,2024-09-04,3
907,Normalization factor,25.88,2024-09-04,3
908,Target 1,ND,2024-09-11,3
909,Target 2,38.69,2024-09-11,3
910,Extraction control,25.12,2024-09-11,3
911,Normalization factor,25.83,2024-09-11,3
912,Target 1,ND,2024-09-18,3
913,Target 2,ND,2024-09-18,3
914,Extraction control,25.24,2024-09-18,3
915,Normalization factor,27.08,2024-09-18,3
916,Target 1,ND,2024-09-25,3
917,Target 2,38.14,2024-09-25,3
918,Extraction control,26.05,2024-09-25,3
919,Normalization factor,27.58,2024-09-25,3
920,Target 1,38.15,2024-10-02,3
921,Target 2,ND,2024-10-02,3
922,Extraction control,24.58,2024-10-02,3
923,Normalization factor,26.03,2024-10-02,3
924,Target 1,NoSample,2024-10-09,3
925,Target 2,NoSample,2024-10-09,3
926,Extraction control,NoSample,2024-10-09,3
927,Normalization factor,NoSample,2024-10-09,3
928,Target 1,ND,2024-10-16,3
929,Target 2,39.05,2024-10-16,3
930,Extraction control,25.69,2024-10-16,3
931,Normalization factor,27.99,2024-10-16,3
932,Target 1,ND,2024-10-23,3
933,Target 2,ND,2024-10-23,3
934,Extraction control,24.67,2024-10-23,3
935,Normalization factor,27.0,2024-10-23,3
936,Target 1,ND,2024-10-30,3
937,Target 2,ND,2024-10-30,3
938,Extraction control,24.93,2024-10-30,3
939,Normalization factor,27.65,2024-10-30,3
940,Target 1,ND,2024-11-06,3
941,Target 2,ND,2024-11-06,3
942,Extraction control,25.74,2024-11-06,3
943,Normalization factor,29.62,2024-11-06,3
944,Target 1,ND,2024-11-13,3
945,Target 2,ND,2024-11-13,3
946,Extraction control,25.2,2024-11-13,3
947,Normalization factor,27.1,2024-11-13,3
948,Target 1,33.09,2024-11-20,3
949,Target 2,33.15,2024-11-20,3
950,Extraction control,24.59,2024-11-20,3
951,Normalization factor,28.61,2024-11-20,3
952,Target 1,ND,2024-11-26,3
953,Target 2,ND,2024-11-26,3
954,Extraction control,24.9,2024-11-26,3
955,Normalization factor,25.07,2024-11-26,3
956,Target 1,ND,2024-12-04,3
957,Target 2,ND,2024-12-04,3
958,Extraction control,24.81,2024-12-04,3
959,Normalization factor,27.02,2024-12-04,3
